order_id,order_date,product,country,qty,category,unit_price,revenue
1,2024-02-28,Gadget C,Norway,6,Gadgets,24.9,149.39999999999998
2,2024-02-13,Gadget C,Denmark,2,Gadgets,24.9,49.8
3,2024-02-11,Accessory E,Germany,1,Accessories,9.9,9.9
4,2024-02-11,Widget B,Denmark,5,Widgets,29.9,149.5
5,2024-03-30,,UK,3,Widgets,29.9,89.69999999999999
6,2024-03-06,Widget A,UK,2,Widgets,19.9,39.8
7,2024-02-07,Widget A,Denmark,5,Widgets,19.9,99.5
8,2024-02-29,Gizmo D,,1,Gadgets,34.9,34.9
9,2024-02-22,Widget A,Norway,4,Widgets,19.9,79.6
10,2024-01-17,Gadget C,Norway,2,Gadgets,24.9,49.8
11,2024-01-29,Gizmo D,Sweden,3,Gadgets,34.9,104.69999999999999
12,2024-02-23,Gadget C,Germany,2,Gadgets,24.9,49.8
13,2024-03-27,Accessory E,Germany,5,Accessories,9.9,49.5
14,2024-02-11,Widget B,Denmark,2,Widgets,29.9,59.8
15,2024-02-05,Widget B,Norway,5,Widgets,29.9,149.5
16,2024-02-19,Accessory E,Norway,1,Accessories,9.9,9.9
17,2024-02-04,Accessory E,UK,4,Accessories,9.9,39.6
18,2024-02-10,Widget A,UK,2,Widgets,19.9,39.8
19,2024-02-16,Widget A,Germany,3,Widgets,19.9,59.699999999999996
20,2024-01-28,WIDGET A,Germany,1,Widgets,19.9,19.9
21,2024-03-07,Widget B,Germany,2,Widgets,29.9,59.8
22,2024-01-25,Accessory E,Norway,3,Accessories,9.9,29.700000000000003
23,2024-01-24,Gadget C,Sweden,2,Gadgets,24.9,49.8
24,2024-02-21,Widget B,Germany,2,Widgets,29.9,59.8
25,2024-03-05,Accessory E,Denmark,2,Accessories,9.9,19.8
26,2024-02-20,Gadget C,Norway,3,Gadgets,24.9,74.69999999999999
27,2024-02-14,Widget B,USA,2,Widgets,29.9,59.8
28,2024-02-10,Accessory E,UK,1,Accessories,9.9,9.9
29,2024-02-07,Gizmo D,Sweden,4,Gadgets,34.9,139.6
30,2024-03-14,Gizmo D,Germany,3,Gadgets,34.9,104.69999999999999
31,2024-02-24,Gadget C,USA,2,Gadgets,24.9,49.8
32,2024-02-08,Gizmo D,Norway,3,Gadgets,34.9,104.69999999999999
33,2024-02-03,Widget A,Denmark,2,Widgets,19.9,39.8
34,2024-03-02,,Denmark,3,Gadgets,24.9,74.69999999999999
35,2024-03-13,Accessory E,Sweden,1,Accessories,9.9,9.9
36,2024-03-10,Widget B,,4,Widgets,29.9,119.6
37,2024-01-31,Gizmo D,Sweden,3,Gadgets,34.9,104.69999999999999
